Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Corteva_UI_HomePage,14,1466,1140,1841,1841,3825,1061,3825,0.00%,0.0249,0.71,0
Corteva_UI_ BlogPage,7,1279,1152,1515,1699,1699,1096,1699,0.00%,0.01327,0.36,0
Corteva_UI_OurImpact,14,1328,1199,1621,1621,2083,1122,2083,0.00%,0.02459,0.72,0
Corteva_UI_OurImpact_OurInnovation,7,2329,1902,3017,4076,4076,1484,4076,0.00%,0.01327,0.35,0
Corteva_UI_OurImpact_OurSustainability,7,1491,1471,1520,1960,1960,1234,1960,0.00%,0.01327,0.32,0
Corteva_UI_WhoWeAre_OurMerger,7,2285,1359,2055,7149,7149,1299,7149,0.00%,0.01328,0.41,0
Corteva_UI_WhoWeAre_OurMission,7,3552,2170,2439,12020,12020,1842,12020,0.00%,0.01328,0.32,0
Corteva_UI_WhoWeAre_OurLeadership,7,4059,2154,4936,12088,12088,1824,12088,0.00%,0.01328,0.21,0
Corteva_UI_WhoWeAre_OurHistory,7,3725,2222,2417,12700,12700,2142,12700,0.00%,0.01328,0.84,0
Corteva_UI_WhoWeAre_OurDiversity,7,3511,2102,2346,12119,12119,1880,12119,0.00%,0.01328,0.35,0
Corteva_UI_WhoWeAre_OurCommunities,7,3558,1876,3136,12345,12345,1776,12345,0.00%,0.01328,0.37,0
Corteva_UI_BioDetails_LeadershipPage,7,3915,2502,4656,11992,11992,1821,11992,0.00%,0.01321,0.21,0
Corteva_UI_BioDetails_FilterByLocation,7,816,92,179,5123,5123,68,5123,0.00%,0.01326,0.22,0
Corteva_UI_BioDetails_ChooseALeader,7,2208,1473,2284,6324,6324,1221,6324,0.00%,0.01322,0.24,0
Corteva_UI_BioDetails_DownloadBio,7,1696,1536,1993,2049,2049,1448,2049,0.00%,0.01322,0.24,0
Corteva_UI_ Search,7,2268,1927,2861,3095,3095,1885,3095,0.00%,0.01319,1.46,0
Corteva_UI_Search Facet,7,1123,207,740,6108,6108,181,6108,0.00%,0.01326,1.64,0
Corteva_UI_Click_SearchFilter_LInk,7,2131,1568,4434,4600,4600,50,4600,0.00%,0.01324,1.76,0
Corteva_UI_ContactUs,7,1415,1334,1502,1756,1756,1300,1756,0.00%,0.01332,0.2,0
Corteva_UI_TermsOfUse,7,1495,1383,1717,1844,1844,1232,1844,0.00%,0.01331,0.53,0
Corteva_UI_Product&Services,7,1959,1762,1914,3373,3373,1501,3373,0.00%,0.01329,0.45,0
Corteva_UI_MediaCenter_News&Media,6,1431,1371,1619,1766,1766,1174,1766,0.00%,0.01321,0.38,0
Corteva_UI_MediaContacts,6,114,105,115,158,158,99,158,0.00%,0.01325,0.38,0
Corteva_UI_MediaExecutives,6,97,90,116,132,132,81,132,0.00%,0.01325,0.38,0
